University Name,Address
École de Technologie Supérieure,"École de Technologie Supérieure, Quebec, Canada"
Youngstown State University,"Youngstown State University, Ohio, United States"
Oregon Health and Science University,"Oregon Health and Science University, Oregon, United States"
Université du Québec à Trois-Rivières,"Université du Québec à Trois-Rivières, Quebec, Canada"
INP-ENSEEIHT,"INP-ENSEEIHT, Occitanie, France"
Doshisha University,"Doshisha University, Kyoto, Japan"
Niigata University,"Niigata University, Niigata, Japan"
École centrale de Lille,"École centrale de Lille, Villeneuve-d'Ascq, France"
Université de Perpignan Via Domitia,"Université de Perpignan Via Domitia, Perpignan, France"
Institut supérieur d’électronique de Paris (ISEP),"Institut supérieur d’électronique de Paris (ISEP), Paris, France"
University of Alberta,"University of Alberta, Alberta, Canada"
Oakland University,"Oakland University, Michigan, United States"
"Carnegie Mellon University, Silicon Valley","Carnegie Mellon University, Silicon Valley, California, United States"
Otto-von-Guericke University Magdeburg,"Otto-von-Guericke University Magdeburg, Saxony-Anhalt, Germany"
"University of California, Merced","University of California, Merced, California, United States"
Fairfield University,"Fairfield University, Connecticut, United States"
Darmstadt University of Applied Sciences,"Darmstadt University of Applied Sciences, Berlin, Germany"
Gannon University,"Gannon University, Pennsylvania, United States"
"James Cook University, Townsville","James Cook University, Townsville, Queensland, Australia"
Golden Gate University,"Golden Gate University, California, United States"
Wilmington University,"Wilmington University, Delaware, United States"
Murdoch University,"Murdoch University, Western Australia, Australia"
University of Cologne,"University of Cologne, North Rhine-Westphilia, Germany"
University of Koblenz and Landau,"University of Koblenz and Landau, Rhineland-Palatinate, Germany"
University of Prince Edward Island,"University of Prince Edward Island, Prince Edward Island, Canada"
Wageningen University and Research,"Wageningen University and Research, Gelderland, Netherlands"
Texas Christian University,"Texas Christian University, Texas, United States"
Sonoma State University,"Sonoma State University, California, United States"
Nipissing University,"Nipissing University, Ontario, Canada"
University of Hohenheim,"University of Hohenheim, Baden-Warttemberg, Germany"
University of the Sunshine Coast,"University of the Sunshine Coast, Queensland, Australia"
University of Greifswald (Ernst-Moritz-Arndt),"University of Greifswald (Ernst-Moritz-Arndt), Mecklenburg-Vorpommern, Germany"
Brandon University,"Brandon University, Manitoba, Canada"
University of Lausanne,"University of Lausanne, Lausanne, Switzerland"
Wesley College,"Wesley College, Delaware, United States"
"California State University, Monterey Bay","California State University, Monterey Bay, California, United States"
Universite de la Rochelle,"Universite de la Rochelle, La Rochelle, France"
"Lakeland College, Vermilion","Lakeland College, Vermilion, Alberta, Canada"
Stephen F. Austin State University,"Stephen F. Austin State University, Texas, United States"
Tohoku University,"Tohoku University, Miyagi, Japan"
Northeastern State University,"Northeastern State University, Oklahoma, United States"
Queen Margaret University,"Queen Margaret University, Edinburgh, United Kingdom"
Soas University of London,"Soas University of London, London, United Kingdom"
University of Northampton,"University of Northampton, Northamptonshire, United Kingdom"
BPP University,"BPP University, London, United Kingdom"
University College Birmingham,"University College Birmingham, Birmingham, United Kingdom"
"St Mary's University, Twickenham","St Mary's University, Twickenham, London, United Kingdom"
Baruch College - The City University of New York,"Baruch College - The City University of New York, New York, United States"
Massey University,"Massey University, Manawatu-Wanganui, New Zealand"
Webster University,"Webster University, Missouri, United States"
University of Indianapolis,"University of Indianapolis, Indiana, United States"
Linnaeus University Sweden,"Linnaeus University Sweden, Kronobergs l'n, Sweden"
"International Institute in Geneva, Switzerland","International Institute in Geneva, Switzerland, Geneva, Switzerland"
Geneva Business School,"Geneva Business School, Geneva, Switzerland"
Catholic University of Eichstätt-Ingolstadt,"Catholic University of Eichstätt-Ingolstadt, Bavaria, Germany"
Yong Siew Toh Conservatory of Music,"Yong Siew Toh Conservatory of Music, Singapore, Singapore"
S. Rajaratnam School of International Studies,"S. Rajaratnam School of International Studies, Singapore, Singapore"
The American University of Paris,"The American University of Paris, Paris, France"
Lee Kuan Yew School of Public Policy,"Lee Kuan Yew School of Public Policy, Singapore, Singapore"
American Graduate School in Paris,"American Graduate School in Paris, Paris, France"
Zeppelin University,"Zeppelin University, Baden-Warttemberg, Germany"
University of Business and International Studies,"University of Business and International Studies, Geneva, Switzerland"
The London School of Economics and Political Science,"The London School of Economics and Political Science, London, United Kingdom"
Geneva School of Diplomacy and International Relations,"Geneva School of Diplomacy and International Relations, Geneva, Switzerland"
University of Palermo,"University of Palermo, Palermo, Italy"
Institut Barcelona d'Estudis Internacionals,"Institut Barcelona d'Estudis Internacionals, Barcelona, Spain"
Schiller International University,"Schiller International University, Florida, United States"
Toronto Metropolitan University,"Toronto Metropolitan University, Ontario, Canada"
"New York Institute of Technology, Manhattan","New York Institute of Technology, Manhattan, New York, United States"
Lakehead University,"Lakehead University, Ontario, Canada"
"University of Michigan, Flint","University of Michigan, Flint, Michigan, United States"
"Saint Mary's University, Nova Scotia","Saint Mary's University, Nova Scotia, Nova Scotia, Canada"
"Macquarie University, Sydney","Macquarie University, Sydney, New South Wales, Australia"
"University of South Australia, Adelaide","University of South Australia, Adelaide, South Australia, Australia"
Southern New Hampshire University,"Southern New Hampshire University, New Hampshire, United States"
London Business School,"London Business School, London, United Kingdom"
Central Queensland University,"Central Queensland University, Queensland, Australia"
Atlantis University,"Atlantis University, Florida, United States"
University of Tampa,"University of Tampa, Florida, United States"
Saint Peter's University,"Saint Peter's University, New Jersey, United States"
Dallas Baptist University,"Dallas Baptist University, Texas, United States"
Vancouver Island University,"Vancouver Island University, British Columbia, Canada"
"Hult International Business School, Boston","Hult International Business School, Boston, Massachusetts, United States"
Carolina University,"Carolina University, North Carolina, United States"
Suffolk University,"Suffolk University, Massachusetts, United States"
INSEAD France,"INSEAD France, Île-de-France, France"
"Bond University, Gold Coast","Bond University, Gold Coast, Queensland, Australia"
Southern Connecticut State University,"Southern Connecticut State University, Connecticut, United States"
Trinity Western University,"Trinity Western University, British Columbia, Canada"
"Fanshawe College, London","Fanshawe College, London, London, Canada"
"International Institute for Management Development, Switzerland","International Institute for Management Development, Switzerland, Lausanne, Switzerland"
"Torrens University Australia, Adelaide","Torrens University Australia, Adelaide, South Australia, Australia"
"California State University, Stanislaus","California State University, Stanislaus, California, United States"
Point Park University,"Point Park University, Pennsylvania, United States"
Lee Kong Chian School of Business,"Lee Kong Chian School of Business, Singapore, Singapore"
Copenhagen Business School,"Copenhagen Business School, Hovedstaden, Denmark"
"University of Redlands, Rancho Cucamonga","University of Redlands, Rancho Cucamonga, California, United States"
Southern Utah University,"Southern Utah University, Utah, United States"
University of St. Francis,"University of St. Francis, Illinois, United States"
Humboldt State University,"Humboldt State University, California, United States"
Université Paris-Est Créteil,"Université Paris-Est Créteil, Creteil, France"
Clayton State University,"Clayton State University, Georgia, United States"
Friends University,"Friends University, Kansas, United States"
Conservatoire National des Arts et Métiers,"Conservatoire National des Arts et Métiers, Paris, France"
Wrexham Glyndwr University,"Wrexham Glyndwr University, Wales, United Kingdom"
Berlin International University of Applied Sciences,"Berlin International University of Applied Sciences, Berlin, Germany"
IESE Business School,"IESE Business School, Barcelona, Spain"
"Hult International Business School, San Francisco","Hult International Business School, San Francisco, San Francisco, United States"
"Hult International Business School, London Graduate","Hult International Business School, London Graduate, London, United Kingdom"
Siena College,"Siena College, New York, United States"
IE Business School,"IE Business School, Madrid, Spain"
EBS University,"EBS University, Dortmund, Germany"
Munich Business School,"Munich Business School, Bavaria, Germany"
SDA Bocconi School of Management,"SDA Bocconi School of Management, Milano, Italy"
Warwick Business School,"Warwick Business School, Coventry, United Kingdom"
Paris School of Business,"Paris School of Business, Paris, France"
University of the Incarnate Word,"University of the Incarnate Word, Texas, United States"
William Paterson University,"William Paterson University, New Jersey, United States"
University of Nebraska at Kearney,"University of Nebraska at Kearney, Nebraska, United States"
Barry University,"Barry University, Florida, United States"
La Sierra University,"La Sierra University, California, United States"
Amity University,"Amity University, London, United Kingdom"
Salem University,"Salem University, West Virginia, United States"
Saint Mary's University of Minnesota,"Saint Mary's University of Minnesota, Minnesota, United States"
Ohio Dominican University,"Ohio Dominican University, Ohio, United States"
The University of West Alabama,"The University of West Alabama, Alabama, United States"
Okanagan College,"Okanagan College, British Columbia, Canada"
Auckland Institute of Studies,"Auckland Institute of Studies, Auckland, New Zealand"
Illinois State University,"Illinois State University, Illinois, United States"
Wilfrid Laurier University,"Wilfrid Laurier University, Ontario, Canada"
"University of the Pacific, Stockton","University of the Pacific, Stockton, California, United States"
Arkansas Tech University,"Arkansas Tech University, Arkansas, United States"
University of Mannheim,"University of Mannheim, Baden-Warttemberg, Germany"
Saint Joseph's University,"Saint Joseph's University, Pennsylvania, United States"
Indiana Institute of Technology,"Indiana Institute of Technology, Indiana, United States"
Charles Sturt University,"Charles Sturt University, New South Wales, Australia"
Murray State University,"Murray State University, Kentucky, United States"
Sam Houston State University,"Sam Houston State University, Texas, United States"
Keio University,"Keio University, Tokyo, Japan"
Friedrich Schiller University Jena,"Friedrich Schiller University Jena, Thuringia, Germany"
Royal Holloway University of London,"Royal Holloway University of London, Surrey, United Kingdom"
University Of Phoenix,"University Of Phoenix, Arizona, United States"
University of Regensburg,"University of Regensburg, Bavaria, Germany"
Lipscomb University,"Lipscomb University, Tennessee, United States"
University of Osnabrück,"University of Osnabrück, Lower Saxony, Germany"
Tulane University of Louisiana,"Tulane University of Louisiana, Louisiana, United States"
Australian Catholic University,"Australian Catholic University, New South Wales, Australia"
University of Lübeck,"University of Lübeck, Schleswig-Holstein, Germany"
Wesleyan University,"Wesleyan University, Connecticut, United States"
Birkbeck College,"Birkbeck College, London, United Kingdom"
Abilene Christian University,"Abilene Christian University, Texas, United States"
Pepperdine University,"Pepperdine University, California, United States"
University of Northern Iowa,"University of Northern Iowa, Iowa, United States"
Southeastern Louisiana University,"Southeastern Louisiana University, Louisiana, United States"
Manchester Metropolitan University.,"Manchester Metropolitan University., Manchester, United Kingdom"
Western Carolina University,"Western Carolina University, North Carolina, United States"
Emporia State University,"Emporia State University, Kansas, United States"
Paul Valéry University Montpellier 3,"Paul Valéry University Montpellier 3, Occitanie, France"
Kristianstad University,"Kristianstad University, Sk'ne l'n, Sweden"
University of Cumbria,"University of Cumbria, London, United Kingdom"
Plymouth Marjon University,"Plymouth Marjon University, Plymouth, United Kingdom"
Liberty University,"Liberty University, Virginia, United States"
Université de Rouen,"Université de Rouen, Rouen, France"
University of Worcester,"University of Worcester, Worcester, United States"
Grand Canyon University,"Grand Canyon University, Arizona, United States"
"Alliant International University, San Diego","Alliant International University, San Diego, California, United States"
Leeds Trinity University,"Leeds Trinity University, Leeds, United Kingdom"
Morehead State University,"Morehead State University, Kentucky, United States"
Castleton University,"Castleton University, Vermont, United States"
Salem State University,"Salem State University, Massachusetts, United States"
St. Francis College,"St. Francis College, New York, United States"
University of Pavia,"University of Pavia, Pavia, Italy"
"La Trobe University, Melbourne","La Trobe University, Melbourne, Victoria, Australia"
West Virginia University Institute of Technology,"West Virginia University Institute of Technology, West Virginia, United States"
Georgia Southern University,"Georgia Southern University, Georgia, United States"
"Victoria University, Melbourne","Victoria University, Melbourne, Victoria, Australia"
"Georgia Southern University, Armstrong Campus Savannah","Georgia Southern University, Armstrong Campus Savannah, Georgia, United States"
"MCPHS University, Boston","MCPHS University, Boston, Massachusetts, United States"
La Salle University,"La Salle University, Pennsylvania, United States"
"Massachusetts College of Pharmacy and Health Science, Boston Campus","Massachusetts College of Pharmacy and Health Science, Boston Campus, Massachusetts, United States"
New York Medical College,"New York Medical College, New York, United States"
Karolinska Institute,"Karolinska Institute, Stockholms l'n, Sweden"
Icahn School of Medicine at Mount Sinai,"Icahn School of Medicine at Mount Sinai, New York, United States"
University of Bordeaux,"University of Bordeaux, Nouvelle-Aquitaine, France"
Campbell University,"Campbell University, North Carolina, United States"
"St George’s, University of London","St George’s, University of London, London, United Kingdom"
"University of Colorado, Anschutz Medical","University of Colorado, Anschutz Medical, Colorado, United States"
Université Paris Cité,"Université Paris Cité, Paris, France"
Brighton and Sussex Medical School,"Brighton and Sussex Medical School, Brighton and Hove, United Kingdom"
Norwegian University of Science and Technology,"Norwegian University of Science and Technology, Trondheim, Norway"
"University of Southern Denmark, Esbjerg","University of Southern Denmark, Esbjerg, Esbjerg, Denmark"
University of Texas Health Science Center at Houston,"University of Texas Health Science Center at Houston, Houston, United States"
Aix-Marseille University,"Aix-Marseille University, Marseille, France"
UiT The Arctic University of Norway,"UiT The Arctic University of Norway, Troms, Norway"
University of Eastern Finland,"University of Eastern Finland, Finnmark, Norway"
Mälardalen University,"Mälardalen University, Västerås, Sweden"
The University of North Texas Health Science Center at Fort Worth,"The University of North Texas Health Science Center at Fort Worth, Texas, United States"
SUNY Downstate Health Sciences University,"SUNY Downstate Health Sciences University, New York, United States"
New England Institute of Technology,"New England Institute of Technology, Rhode Island, United States"
Arcadia University,"Arcadia University, Pennsylvania, United States"
Hawaii Pacific University,"Hawaii Pacific University, Hawaii, United States"
EHESP,"EHESP, Rennes, France"
London School of Hygiene & Tropical Medicine,"London School of Hygiene & Tropical Medicine, London, United Kingdom"
Royal Tropical Institute,"Royal Tropical Institute, Amsterdam, Netherlands"
"West Virginia University, Morgantown","West Virginia University, Morgantown, West Virginia, United States"
Boston College,"Boston College, Massachusetts, United States"
Federation University of Australia,"Federation University of Australia, Victoria, Australia"
Stratford University,"Stratford University, Virginia, United States"
University of Scranton,"University of Scranton, Pennsylvania, United States"
Centennial College,"Centennial College, Ontario, Canada"
University of Lorraine,"University of Lorraine, Grand Est, France"
University of Advancing Technology,"University of Advancing Technology, Arizona, United States"
University of Wisconsin–La Crosse,"University of Wisconsin–La Crosse, Wisconsin, United States"
